,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene-Z3835,94493.23554,-6.862029037,2.046839385,-3.3525,0.000800852,0.043450174
gene-Z4686,3707786.576,-6.858471346,2.046205049,-3.351800617,0.000802878,0.043450174
gene-Z3498,61835.43627,6.834696802,2.04467462,3.34268188,0.00082973,0.043450174
gene-Z5601,32913.77819,6.807833475,2.042784125,3.332625014,0.000860308,0.043598194
gene-Z3604,76367.22328,6.755514954,2.037170363,3.316126661,0.000912745,0.04381684
gene-Z5600,85961.8689,6.748330653,2.036438574,3.313790428,0.000920405,0.04381684
gene-Z1513,236210.0179,6.700224213,2.031635585,3.297945883,0.000973949,0.044486284
gene-Z5366,34381.83139,6.690585177,2.031734718,3.293040729,0.000991101,0.044486284
gene-Z4116,26289.41759,6.606972611,2.024177767,3.264027854,0.001098404,0.047682363
gene-Z4434,14544.48864,6.594136149,2.024140733,3.257745888,0.001123009,0.047682363
gene-Z0562,1846.803338,-6.532836947,2.031013476,-3.216540423,0.001297463,NA
gene-Z5666,18278.56603,6.462979558,2.011020492,3.213781054,0.001309995,0.05415796
gene-Z3497,73002.6173,6.389538087,2.002480346,3.190811885,0.001418736,0.054200036
gene-Z5082,19979.71172,-6.391579087,2.003536462,-3.190148625,0.001421996,0.054200036
gene-Z0677,30252.09073,-6.382130879,2.002167888,-3.187610249,0.001434538,0.054200036
gene-Z3762,21720.8751,-6.37532862,2.001858194,-3.18470541,0.001449014,0.054200036
gene-Z2191,4636.547376,6.325093932,2.003018384,3.157781268,0.001589748,NA
gene-Z2614,15786.46292,6.205289903,1.98609693,3.124364077,0.001781898,0.06239674
gene-Z5406,295355.2929,-6.187389376,1.982375617,-3.121199294,0.001801161,0.06239674
gene-Z4691,1285207.049,-6.176486711,1.981306954,-3.11738002,0.001824662,0.06239674
gene-Z4684,586578.5799,-6.175505173,1.981234157,-3.116999145,0.001827021,0.06239674
gene-Z3605,35028.17145,6.149030144,1.979448442,3.106436123,0.001893572,0.063293656
gene-Z5251,74990.07817,6.123471658,1.976455063,3.098209402,0.001946938,0.063721661
gene-Z3402,9510.113513,6.087473429,1.975738556,3.081112839,0.002062285,0.065768311
gene-Z2189,9477.747013,6.062829763,1.973285439,3.072454517,0.002123062,0.065768311
gene-Z2210,70280.64325,6.04576485,1.96880958,3.070771755,0.002135063,0.065768311
gene-Z2192,13177.64578,5.984580548,1.964552791,3.04628136,0.002316909,0.06999739
gene-Z0459,6885.574538,5.962910441,1.964406707,3.035476523,0.002401559,0.070562551
gene-Z0444,5090.030744,5.944504577,1.964027903,3.02669049,0.00247247,NA
gene-Z4692,420446.9356,-5.916192615,1.955487002,-3.025431828,0.002482784,0.070562551
gene-Z4689,413553.022,-5.90859605,1.954728199,-3.022720014,0.002505139,0.070562551
gene-Z0678,5398.494067,-5.925483346,1.960641221,-3.02221706,0.002509305,NA
gene-Z4468,54100.88288,5.907447614,1.955139125,3.021497314,0.002515279,0.070562551
gene-Z5252,77626.73151,5.859524949,1.950160182,3.004637775,0.002658973,0.07204857
gene-Z4688,191728.8483,-5.858121258,1.949767204,-3.004523436,0.002659973,0.07204857
gene-Z4216,3263.882233,5.893063778,1.96189115,3.00376694,0.002666595,NA
gene-Z0759,4070.444023,-5.852182027,1.95453453,-2.994156378,0.002752049,NA
gene-Z3808,3293.127858,5.856409797,1.958008,2.991004019,0.002780618,NA
gene-Z4470,10849.60677,5.829507017,1.94933636,2.990508532,0.002785133,0.073081202
gene-Z3763,16339.27739,-5.813223248,1.946473722,-2.986540831,0.002821532,0.073081202
gene-Z0038,40514.5534,-5.804915464,1.944826685,-2.984798341,0.002837653,0.073081202
gene-Z3890,1362063.663,5.785358751,1.942300885,2.978610985,0.002895581,0.073370297
gene-Z4687,245126.1415,-5.764957139,1.940296368,-2.971173494,0.002966641,0.073590535
gene-Z2211,31945.43423,5.758893218,1.940362501,2.96794708,0.002997959,0.073590535
gene-Z1190,4176.151101,5.770616183,1.94722057,2.963514391,0.003041478,NA
gene-Z2187,3710.033221,5.750183653,1.945913747,2.955004384,0.003126646,NA
gene-Z2188,31621.786,5.677685138,1.932092323,2.938619997,0.00329677,0.075169367
gene-Z0426,2752.394204,5.71187671,1.944413082,2.937583975,0.003307806,NA
gene-Z4896,20140.42004,5.658011211,1.930547983,2.930779893,0.003381123,0.075169367
gene-Z3401,19437.97133,5.655659098,1.930353211,2.929857119,0.003391179,0.075169367
gene-Z4467,16403.30567,5.652578299,1.930284785,2.928364945,0.003407498,0.075169367
gene-Z5583,15395.38029,-5.643121241,1.929086115,-2.925282183,0.00344144,0.075169367
gene-Z1421,80940.68199,5.634858958,1.927201069,2.923856285,0.003457243,0.075169367
gene-Z4208,57214.15769,5.627638327,1.926592482,2.921032019,0.00348874,0.075169367
gene-Z4685,943799.4943,-5.623641554,1.925804865,-2.920151287,0.003498615,0.075169367
gene-Z4690,398278.7518,-5.617525675,1.925206688,-2.917881861,0.003524178,0.075169367
gene-Z2194,9778.022232,5.624056302,1.928412383,2.916417853,0.003540759,0.075169367
gene-Z0432,5077.748588,-5.609977526,1.928416848,-2.90911041,0.003624588,NA
gene-Z4942,126860.1054,5.592792629,1.922762968,2.908727036,0.003629036,0.0760162
gene-Z4786,51165.90067,5.573548696,1.921075224,2.901265201,0.003716592,0.076825867
gene-Z5032,20757.095,5.549393164,1.919297459,2.89136691,0.0038357,0.077403628
gene-Z5602,22788.19779,5.529172025,1.917090394,2.884147791,0.003924745,0.077403628
gene-Z4683,142500.1892,-5.523583489,1.915553663,-2.883544114,0.003932276,0.077403628
gene-Z3735,51335.83738,-5.51346828,1.914757566,-2.879460241,0.003983565,0.077403628
gene-Z1515,86736.33265,5.511463745,1.914446779,2.878880628,0.003990894,0.077403628
gene-Z4991,1830.477467,5.540859973,1.930854319,2.869641649,0.004109372,NA
gene-Z2306,48749.15161,5.460206538,1.909331858,2.859747254,0.004239788,0.081228127
gene-Z4117,4248.518503,5.479662036,1.916624355,2.85901722,0.004249557,NA
gene-Z4681,1088989.023,-5.420746935,1.904840838,-2.845774211,0.00443036,0.083036443
gene-Z0878,112663.8797,5.41923411,1.904767131,2.845090101,0.004439886,0.083036443
gene-Z5659,6795.28727,-5.409087407,1.906381147,-2.837358844,0.004548846,0.084073369
gene-Z4477,2952.566497,5.413831916,1.912097451,2.831357739,0.004635085,NA
gene-Z2190,6458.501162,5.367655054,1.902797761,2.820927775,0.004788498,NA
gene-Z4875,3000.621271,5.333040618,1.90326718,2.802045175,0.005077976,NA
gene-Z5812,375975.7495,-5.299758927,1.892034091,-2.801090611,0.005093022,0.093036477
gene-Z4462,17088.20365,5.28134305,1.891374804,2.792330234,0.005232992,0.093726096
gene-Z0877,214697.8052,5.267103677,1.888630414,2.788848278,0.005289584,0.093726096
gene-Z0712,174.56769,-5.732997081,2.056876232,-2.787234833,0.005315994,NA
gene-Z5809,427671.6286,-5.260737009,1.887885196,-2.786576758,0.0053268,0.093726096
gene-Z4466,14474.50384,5.259879072,1.889328892,2.78399335,0.005369414,0.093726096
gene-Z4822,6897.118423,5.236823184,1.888666338,2.772762494,0.005558267,0.09518955
gene-Z5744,729683.4136,5.213351391,1.882828709,2.768893083,0.005624709,0.09518955
gene-Z4874,12844.3329,5.218842971,1.885218644,2.768295861,0.005635027,0.09518955
gene-Z3392,5329.599898,5.215426445,1.887308899,2.763419623,0.005719918,NA
gene-Z1952,45496.89715,5.17188704,1.878918826,2.752586738,0.005912648,0.098098323
gene-Z4876,4120.310917,5.189647317,1.885734331,2.752056443,0.005922231,NA
gene-Z2292,8691.638704,5.171394012,1.880923743,2.749390576,0.005970619,0.098098323
gene-Z5030,31440.87589,5.159903078,1.877844512,2.747779726,0.00600003,0.098098323
gene-Z4803,6693.456118,5.161741959,1.880635291,2.744679941,0.006056994,0.098098323
gene-Z3505,2651.670459,5.162696047,1.885692101,2.737825567,0.006184687,NA
gene-Z4463,20972.46898,5.134602896,1.875461135,2.737781551,0.006185515,0.099157589
gene-Z4996,7913.332585,5.104596586,1.873862485,2.724104158,0.006447617,0.102315213
gene-Z2293,720.3350152,5.186975639,1.910694596,2.714706814,0.006633447,NA
gene-Z0879,40413.7961,5.065165037,1.867389564,2.712430837,0.006679172,0.104205609
gene-Z0839,7650.524652,5.066863765,1.869850206,2.709769878,0.00673299,0.104205609
gene-Z1953,32322.55682,5.054383917,1.866353404,2.708160151,0.006765737,0.104205609
gene-Z0608,4003.764668,5.034054419,1.868800491,2.693735604,0.007065619,NA
gene-Z4820,1042.97651,5.087425286,1.88990996,2.691887653,0.007104887,NA
gene-Z3496,2207.113466,5.038164196,1.873574176,2.689065777,0.00716523,NA
gene-Z3393,6332.877527,5.01017872,1.864231534,2.687530293,0.007198257,NA
gene-Z3574,56278.90173,-4.998610409,1.859946731,-2.687501919,0.007198869,0.109800223
gene-Z5582,23966.02633,-4.941297015,1.854111455,-2.665048534,0.007697721,0.116280001
gene-Z4354,27003.10816,4.926192688,1.852492686,2.659223825,0.007832091,0.117183003
gene-Z4118,3446.386344,4.932672821,1.858436992,2.654205035,0.007949551,NA
gene-Z3761,15726.22667,-4.91372318,1.851470478,-2.653957079,0.007955395,0.117904951
gene-Z0039,27.9368708,-8.558929728,3.228999153,-2.650644773,0.008033829,NA
gene-Z1544,27.9368708,-8.558929728,3.228999153,-2.650644773,0.008033829,NA
gene-Z3575,43568.36379,-4.89968094,1.849215936,-2.649599132,0.008058733,0.118320271
gene-Z2278,905.808991,4.97373208,1.87992552,2.645706985,0.00815204,NA
gene-Z1062,58702.07711,4.88413355,1.847459868,2.643702109,0.008200479,0.119209803
gene-Z4478,2579.084931,4.90696895,1.857578348,2.641594609,0.008251676,NA
gene-Z5936,2064.593478,4.910710598,1.859977786,2.64019852,0.008285748,NA
gene-Z4981,319475.8361,-4.869596319,1.845569534,-2.638533107,0.008326557,0.119209803
gene-Z3804,44335.34415,4.868931353,1.845898183,2.637703097,0.008346963,0.119209803
gene-Z3718,179.5174659,5.332987956,2.021934181,2.637567536,0.0083503,NA
gene-Z2279,2282.064819,4.889067534,1.856603278,2.633339924,0.008454968,NA
gene-Z3427,5838.990565,-4.858991571,1.847307906,-2.63030952,0.008530716,NA
gene-Z5957,12198.16063,4.851004252,1.845123857,2.629094104,0.008561267,0.120643587
gene-Z3407,37112.79893,4.842791431,1.843102564,2.6275214,0.008600943,0.120643587
gene-Z4679,1273268.341,-4.831429777,1.84131939,-2.623895563,0.008693044,0.120856385
gene-Z3391,3381.284206,4.83792886,1.847984028,2.617949499,0.00884599,NA
gene-Z5866,1602.502534,-4.854027481,1.854576083,-2.617324534,0.008862204,NA
gene-Z4479,3320.44391,4.827135177,1.84688401,2.613664502,0.008957695,NA
gene-Z0463,18049.53402,4.799200304,1.838845664,2.609898372,0.009056912,0.124810609
gene-Z4824,1312.412108,-4.825836761,1.85376842,-2.603257618,0.009234254,NA
gene-Z5663,5859.360151,-4.777091162,1.838194645,-2.59879506,0.009355161,NA
gene-Z0880,368768.7248,4.753809751,1.832763025,2.593794007,0.009492334,0.129673538
gene-Z0816,656.0047073,-4.838891055,1.868283308,-2.590019958,0.009597037,NA
gene-Z4480,5632.2745,4.754902391,1.836328744,2.589352482,0.009615661,NA
gene-Z4665,2413936.598,-4.733092645,1.830403545,-2.585819208,0.009714787,0.130965726
gene-Z3772,53613.55647,-4.726489649,1.829969499,-2.582824277,0.009799522,0.130965726
gene-Z0873,336830.3377,4.722219587,1.829249652,2.581506346,0.009837018,0.130965726
gene-Z5245,43627.55975,-4.710019172,1.828203393,-2.576310268,0.009986099,0.131833295
gene-Z4078,6081.110112,4.703662175,1.830318991,2.569859242,0.010173984,NA
gene-Z4620,54313.97492,-4.671453728,1.823813121,-2.561366444,0.010426132,0.135236698
gene-Z1294,6183.3104,-4.676127097,1.826738044,-2.559823568,0.010472532,NA
gene-Z1860,20833.89203,-4.667301791,1.823843194,-2.559047734,0.010495933,0.135236698
gene-Z1748,37517.3718,-4.665493068,1.823283063,-2.558841883,0.01050215,0.135236698
gene-Z2298,454.0538503,4.820407124,1.883911399,2.55872284,0.010505746,NA
gene-Z3056,841.1766629,-4.707532586,1.84747798,-2.548085897,0.01083158,NA
gene-Z2956,37185.95494,4.635225583,1.8199625,2.54687972,0.010869089,0.13840554
gene-Z2954,1952.040608,4.668007912,1.833013357,2.546630604,0.01087685,NA
gene-Z3691,32807.21539,4.630949727,1.819550317,2.545106714,0.010924435,0.13840554
gene-Z5856,2943.036081,-4.633698915,1.824916533,-2.539129232,0.011112877,NA
gene-Z5796,9421.202115,4.60489928,1.818057051,2.532868415,0.011313341,0.142186074
gene-Z3760,4646.631496,-4.583513247,1.817167197,-2.522339857,0.011657702,NA
gene-Z5405,15104.7026,-4.546737651,1.810548303,-2.51124902,0.01203048,0.144761622
gene-Z3176,9482.98203,-4.548621134,1.811405392,-2.511100583,0.01203554,0.144761622
gene-Z3390,5397.822911,4.554063466,1.813784094,2.510807919,0.012045522,NA
gene-Z2615,51967.22744,4.54210792,1.809311498,2.510406818,0.012059214,0.144761622
gene-Z4725,6980.610236,-4.547256232,1.811870018,-2.509703338,0.012083263,0.144761622
gene-Z2812,8375.25574,4.54539632,1.811559669,2.509106598,0.012103695,0.144761622
gene-Z5937,11679.64224,4.540682336,1.810389596,2.50812441,0.012137392,0.144761622
gene-Z5285,120071.6304,-4.529249799,1.807623706,-2.505637531,0.012223085,0.144761622
gene-Z2845,6243.278194,4.538039309,1.811487363,2.505145441,0.012240105,NA
gene-Z5224,50.47093535,-5.946387732,2.374036215,-2.504758645,0.012253498,NA
gene-Z2321,10254.39202,4.532803115,1.809717101,2.504702592,0.01225544,0.144761622
gene-Z1251,32850.00158,-4.520020469,1.806932054,-2.501488896,0.012367232,0.144991952
gene-Z2193,16060.2107,4.472529384,1.802193432,2.481714395,0.013075203,0.152156618
gene-Z4773,600.4665437,4.572882306,1.843707539,2.480264473,0.013128497,NA
gene-Z4621,27459.19225,-4.449662323,1.799017813,-2.473384249,0.013384015,0.154032739
gene-Z4772,50124.38392,4.433985918,1.796933429,2.467529318,0.013604908,0.154032739
gene-Z2779,4196.822708,4.443663872,1.802127221,2.465788108,0.013671218,NA
gene-Z4577,42347.11145,-4.42974968,1.796535604,-2.465717724,0.013673905,0.154032739
gene-Z0609,5402.537782,4.437069386,1.800393199,2.464500193,0.013720449,NA
gene-Z0462,7579.919035,4.430815051,1.798700258,2.463342645,0.01376483,0.154032739
gene-Z1399,18932.0539,-4.423012888,1.796234913,-2.462379979,0.013801836,0.154032739
gene-Z2214,70957.9236,-4.41905323,1.795083094,-2.461754135,0.013825941,0.154032739
gene-Z5795,18462.68091,4.415687194,1.79554208,2.459250186,0.013922756,0.154032739
gene-Z5759,11827.07845,4.357654449,1.789422062,2.43523009,0.014882323,0.16279059
gene-Z1017,12226.31563,-4.354508973,1.788831155,-2.434276126,0.014921607,0.16279059
gene-Z0070,1340.197969,4.394216004,1.805535527,2.43374663,0.014943451,NA
gene-Z0672,794.8668951,4.423701172,1.818292614,2.432887389,0.014978959,NA
gene-Z4032,3639.914192,-4.355446538,1.791912104,-2.43061394,0.015073266,NA
gene-Z5031,6560.919576,4.349969306,1.789661953,2.430609478,0.015073451,0.163242771
gene-Z5195,20989.70091,-4.335452098,1.785996114,-2.427470063,0.015204542,0.163242771
gene-Z4309,123828.2419,4.323332453,1.784025647,2.423357792,0.015377773,0.163242771
gene-Z4523,455324.5165,-4.32288777,1.783858188,-2.423336003,0.015378695,0.163242771
gene-Z4471,232.8072567,4.584930866,1.893714091,2.421131516,0.015472278,NA
gene-Z4286,5745.733431,-4.32068185,1.78629906,-2.418789746,0.015572238,NA
gene-Z2815,5636.821582,4.298811809,1.784191822,2.409388809,0.015979264,NA
gene-Z4670,3001720.607,-4.277195956,1.778555614,-2.404870515,0.016178197,0.170576828
gene-Z5410,1941.704804,4.301035781,1.790467867,2.402185407,0.016297446,NA
gene-Z4287,73042.09806,-4.261249683,1.776922075,-2.398107235,0.01648004,0.17213209
gene-Z0882,110261.8121,4.257550982,1.776444794,2.396669457,0.016544841,0.17213209
gene-Z4673,556662.5202,-4.227946278,1.772874099,-2.384797815,0.01708851,0.176349957
gene-Z4119,7353.370309,4.23062858,1.77553492,2.382734652,0.017184576,0.176349957
gene-Z5838,3962.270445,4.234228709,1.778004824,2.381449506,0.017244655,NA
gene-Z2813,5267.601857,4.227427238,1.776109967,2.380160753,0.017305087,NA
gene-Z5200,5867.648928,4.224201915,1.775392252,2.379306268,0.017345258,NA
gene-Z0476,21009.91949,4.216880993,1.772379705,2.37921986,0.017349325,0.176349957
gene-Z3506,764.9165561,4.28796849,1.802955643,2.378299492,0.017392693,NA
gene-Z0123,108653.1853,-4.212069994,1.77114643,-2.378160227,0.017399264,0.176349957
gene-Z3394,6217.539359,4.211174184,1.773704111,2.374225868,0.017585789,NA
gene-Z5654,39482.80197,4.199852507,1.770031519,2.372755774,0.017655934,0.17780431
gene-Z5128,3324.688972,-4.200110057,1.774279076,-2.367220645,0.017922244,NA
gene-Z0552,7775.057658,4.188831924,1.770531675,2.365861048,0.017988194,0.179996517
gene-Z0761,122.167181,-4.601759816,1.946542504,-2.364068499,0.01807547,NA
gene-Z4672,125938.1048,-4.145141348,1.7633272,-2.350749962,0.018735619,0.182551784
gene-Z2299,57315.51903,4.141022155,1.763030999,2.348808476,0.018833592,0.182551784
gene-Z0416,137.6708858,4.563104591,1.944123328,2.347127121,0.018918799,NA
gene-Z1830,11814.14191,-4.137797316,1.763637237,-2.346172574,0.018967323,0.182551784
gene-Z4676,389169.8218,-4.129957971,1.761468751,-2.344610411,0.01904697,0.182551784
gene-Z5557,348116.0952,-4.128968903,1.761357775,-2.344196598,0.019068117,0.182551784
gene-Z2778,9121.816178,4.133529332,1.763731016,2.343627965,0.01909721,0.182551784
gene-Z1951,13334.74663,4.129302179,1.762636322,2.342685287,0.019145525,0.182551784
gene-Z0532,23194.48211,4.125864953,1.761682402,2.342002706,0.019180576,0.182551784
gene-Z5810,30738.89699,-4.117914087,1.760504054,-2.339054021,0.019332638,0.182551784
gene-Z4864,252.3378979,-4.313783312,1.844504466,-2.338722075,0.019349822,NA
gene-Z4033,6762.249613,-4.112079011,1.761600795,-2.334285397,0.019580783,0.182551784
gene-Z0876,30113.83258,4.104985576,1.759083333,2.333593581,0.019617013,0.182551784
gene-Z4671,306605.9657,-4.100683587,1.758051471,-2.332516229,0.01967355,0.182551784
gene-Z1437,21.34276256,7.546028383,3.236539066,2.331511602,0.019726399,NA
gene-Z0458,3133.375938,4.106048197,1.764112413,2.327543396,0.019936362,NA
gene-Z4094,1403931.183,-4.085625642,1.756245541,-2.326340791,0.020000378,0.182551784
gene-Z4802,2016.45481,4.108283564,1.767415039,2.32445887,0.020100914,NA
gene-Z4401,33696.01057,4.082554924,1.756389677,2.324401571,0.020103981,0.182551784
gene-Z0533,55668.8041,4.076319674,1.755456258,2.322085587,0.020228328,0.182551784
gene-Z4164,15833.27606,4.077624458,1.756367638,2.321623543,0.020253215,0.182551784
gene-Z4664,437311.4765,-4.070107909,1.754447742,-2.319879819,0.02034738,0.182551784
gene-Z4771,26761.18996,4.069531796,1.754990661,2.318833875,0.020404046,0.182551784
gene-Z5556,80506.84671,-4.06598093,1.754118766,-2.317962163,0.020451378,0.182551784
gene-Z2844,6794.616114,4.052713778,1.754870152,2.309409487,0.020920869,0.185634368
gene-Z0534,168624.4017,4.036182645,1.750528391,2.305693906,0.021127742,0.185634368
gene-Z4576,61266.22882,-4.0352352,1.750435961,-2.305274394,0.021151211,0.185634368
gene-Z2951,2158.756673,4.042063467,1.758988767,2.297947288,0.021564789,NA
gene-Z4077,449.8591249,4.135837655,1.800143404,2.297504547,0.021590004,NA
gene-Z5404,20803.55578,-4.016676065,1.748842205,-2.296762998,0.021632293,0.187271827
gene-Z5811,12814.33223,-4.017999958,1.749456023,-2.296713896,0.021635096,0.187271827
gene-Z5813,1723.344182,-4.041550454,1.759903268,-2.296461701,0.021649497,NA
gene-Z0801,20269.44979,4.006810557,1.747785592,2.292506916,0.021876409,0.187271827
gene-Z0424,5609.706877,4.013077384,1.750711846,2.292254658,0.021890953,NA
gene-Z2477,23319.92118,4.003851098,1.747326578,2.29141544,0.021939397,0.187271827
gene-Z5956,3508.350826,4.015821185,1.752846299,2.291028704,0.021961754,NA
gene-Z4698,2258789.999,-3.996539666,1.745641487,-2.28943898,0.022053859,0.187271827
gene-Z5570,20511.30088,3.994826536,1.746359147,2.287517172,0.022165654,0.187271827
gene-Z3411,92955.13043,-3.992173786,1.745285414,-2.287404543,0.022172221,0.187271827
gene-Z4877,3411.385555,4.005829398,1.751796524,2.28669788,0.022213464,NA
gene-Z3531,15.52048378,-7.710932175,3.387631698,-2.276201447,0.022833955,NA
gene-Z4677,335726.286,-3.954917814,1.740770576,-2.271935124,0.023090429,0.1939843
gene-Z4674,445074.7386,-3.94277269,1.739323603,-2.266842514,0.023399848,0.195107811
gene-Z2339,1272.142745,3.98147516,1.757074448,2.265968391,0.023453319,NA
gene-Z1398,42232.05852,-3.938810142,1.739180468,-2.264750677,0.023527984,0.195107811
gene-Z4369,1883.918268,-3.957084847,1.748988188,-2.262499469,0.023666562,NA
gene-Z3719,95759.556,3.932502051,1.738255501,2.262326826,0.023677218,0.195107811
gene-Z4678,862526.5062,-3.930316571,1.737832993,-2.261619262,0.023720937,0.195107811
gene-Z0415,2856.977096,3.948151428,1.745769457,2.26155373,0.023724989,NA
gene-Z4826,2994.916444,-3.939745942,1.743948988,-2.259094715,0.023877494,NA
gene-Z3869,44320.99819,3.911671014,1.73598976,2.253280004,0.0242415,0.198295811
gene-Z5827,5479.787844,3.917124929,1.739272925,2.252162311,0.024312017,NA
gene-Z4675,258442.3474,-3.904237281,1.734783656,-2.250561485,0.024413325,0.198295811
gene-Z0027,129341.5204,-3.895854446,1.733847354,-2.246942003,0.024643734,0.198295811
gene-Z3900,214037.6225,-3.891302346,1.733260573,-2.245076365,0.024763231,0.198295811
gene-Z3902,208392.0591,-3.890400319,1.73315537,-2.244692187,0.0247879,0.198295811
gene-Z2335,29580.90111,3.888361671,1.733409675,2.243186782,0.024884772,0.198295811
gene-Z2491,9527.311887,3.887949184,1.734510742,2.241524996,0.024992088,0.198295811
gene-Z2488,1232.896895,3.920805627,1.750200056,2.240204264,0.025077665,NA
gene-Z4076,6369.254185,3.883539586,1.734852484,2.238541675,0.025185753,NA
gene-Z4818,1176.234545,3.912270747,1.749820759,2.235812283,0.02536407,NA
gene-Z5684,1596.579582,3.894776292,1.743997123,2.233246971,0.025532662,NA
gene-Z5159,529.4917909,-3.948218323,1.768337155,-2.232729382,0.025566796,NA
gene-Z2811,9928.394746,3.841244381,1.728877293,2.221814351,0.026295854,0.206659568
gene-Z0655,14.27884507,-7.590637383,3.419543747,-2.21978075,0.026433654,NA
gene-Z4700,249516.5256,-3.826481543,1.72553429,-2.217563317,0.026584621,0.206659568
gene-Z5760,27041.39761,3.822743189,1.725643754,2.215256296,0.026742478,0.206659568
gene-Z2842,3934.048333,3.83112183,1.730202007,2.214262736,0.02681071,NA
gene-Z2818,1672440.804,-3.816111182,1.724244802,-2.2132073,0.026883357,0.206659568
gene-Z2200,836.4114549,-3.869559514,1.748487644,-2.213089425,0.026891481,NA
gene-Z0531,23590.01115,3.814789405,1.724644858,2.211927509,0.026971674,0.206659568
gene-Z2338,10985.44875,3.814771109,1.725555788,2.210749218,0.027053208,0.206659568
gene-Z0723,28848.33428,-3.811215452,1.72403521,-2.210636668,0.027061007,0.206659568
gene-Z4464,3910.507535,3.818143682,1.728671899,2.208715074,0.027194465,NA
gene-Z0790,15486.08703,3.808226207,1.724337792,2.208515191,0.02720838,0.206659568
gene-Z5407,342002.971,-3.80409964,1.722712856,-2.208202967,0.027230128,0.206659568
gene-Z0713,2776.320917,-3.802738537,1.727995668,-2.200664393,0.027759791,NA
gene-Z3901,241780.3111,-3.786305313,1.720615629,-2.200552668,0.027767707,0.207495134
gene-Z5312,15236.9539,-3.787566091,1.721781821,-2.199794448,0.027821482,0.207495134
gene-Z4666,1082718.093,-3.784263274,1.720324145,-2.199738511,0.027825453,0.207495134
gene-Z2780,10647.72303,3.787708342,1.722365164,2.199131996,0.027868538,0.207495134
gene-Z4027,4162.258171,-3.791882484,1.724905121,-2.198313656,0.027926762,NA
gene-Z4278,1083.766019,3.825759891,1.740405663,2.198200093,0.02793485,NA
gene-Z4827,2648.230784,-3.794779829,1.727300489,-2.196942485,0.028024554,NA
gene-Z3608,85725.38706,3.774006604,1.719287113,2.195099687,0.028156448,0.207752657
gene-Z4699,323402.9044,-3.772763982,1.718987816,-2.194759002,0.02818089,0.207752657
gene-Z5205,2988.808924,3.787948222,1.726339698,2.19420791,0.028220466,NA
gene-Z1400,39308.13361,-3.769907723,1.718982276,-2.193104475,0.028299853,0.207752657
gene-Z0817,1016.885318,-3.810545355,1.738076774,-2.19239185,0.028351225,NA
gene-Z3823,311.1982839,3.923123013,1.789969882,2.191725711,0.028399318,NA
gene-Z1751,515.8002073,-3.851219759,1.757178259,-2.191706925,0.028400675,NA
gene-Z2776,3495.16261,3.776024182,1.723973077,2.190303452,0.028502237,NA
