GeneID	BaseMean	Log2FC	StdErr	Wald_Stats	Pval	P_adj	Name	Notes
ECs4152	37603.57514	-1.189666243	0.31682204	-3.754998364	0.000173343	0.000473301	def	peptide deformylase
ECs0165	13378.75515	2.48037126	0.315951362	7.850484464	4.14E-15	3.14E-14	degP	serine endoprotease
ECs4108	3728.347309	1.085506624	0.252697461	4.295676816	1.74E-05	5.45E-05	degS	serine endoprotease
ECs5341	3195.143477	-0.965719078	0.291384942	-3.314238108	0.000918932	0.002258923	deoA	thymidine phosphorylase
ECs5343	6823.399174	-0.139340799	0.296739467	-0.469572857	0.638660221	0.730804556	deoD	purine nucleoside phosphorylase
ECs0164	2976.023226	-0.232385256	0.297261744	-0.781752984	0.434359757	0.544737288	dgt	deoxyguanosinetriphosphate triphosphohydrolase
ECs5402	4.389355829	-0.022866968	1.690613473	-0.013525841	0.98920827	0.991775261	dicF1	miscRNA
ECs5450	20.53078966	0.418500434	0.834698041	0.501379437	0.616104108	0.712683303	dicF2	miscRNA
ECs5459	166.1705899	-0.151935278	0.478864706	-0.317282264	0.751029434	0.821333142	dicF3	miscRNA
ECs5427	6.659174374	3.902129905	1.493153813	2.61334758	0.008966007	0.018609597	dicF4	miscRNA
ECs4520	984.1240368	-1.520943019	0.300895193	-5.054726879	4.31E-07	1.66E-06	dinD	DNA-damage-inducible protein D
ECs0877	2742.887822	-0.327251215	0.262173044	-1.248226019	0.211948298	0.304577137	dinG	ATP-dependent DNA helicase DinG
ECs5117	4524.953154	1.50019649	0.288056011	5.20800272	1.91E-07	7.60E-07	dipZ	thiol:disulfide interchange protein
ECs0060	1714.992805	0.981582472	0.293572987	3.343572183	0.000827072	0.002053066	djlA	Dna-J like membrane chaperone protein
ECs3896	1105.780747	-1.502008445	0.28734897	-5.227123119	1.72E-07	6.89E-07	dkgA	"2,5-diketo-D-gluconic acid reductase A"
ECs0203	1388.738224	-0.872148397	0.353888449	-2.464472629	0.013721504	0.027146897	dkgB	"2,5-diketo-D-gluconic acid reductase B"
ECs0149	7349.426663	-1.316843832	0.258801242	-5.088243871	3.61E-07	1.40E-06	dksA	RNA polymerase-binding transcription factor
ECs4637	24717.48452	1.249154724	0.310835347	4.018702303	5.85E-05	0.000171006	dnaA	chromosomal replication initiation protein
ECs0186	26128.24744	2.338645537	0.317159397	7.37372299	1.66E-13	1.11E-12	dnaE	DNA polymerase III subunit alpha
ECs3949	25508.61579	1.791017285	0.300914651	5.95191121	2.65E-09	1.26E-08	dnaG	DNA primase
ECs0014	197363.7426	-0.711097654	0.285787476	-2.488204395	0.012838992	0.025578677	dnaK	molecular chaperone DnaK
ECs0659	209.0123399	1.307765575	0.442281367	2.956863374	0.003107858	0.007004335	dpiA	two-component response regulator DpiA
ECs4421	1215.617139	3.910352754	0.498352457	7.846560608	4.28E-15	3.23E-14	dppD	peptide ABC transporter ATP-binding protein
ECs4420	766.9926368	4.205351777	0.436469643	9.634923864	5.69E-22	6.67E-21	dppF	peptide ABC transporter ATP-binding protein
ECs4783	14296.26033	3.024851816	0.397303674	7.613450398	2.67E-14	1.91E-13	dsbA	protein disulfide isomerase I
ECs0643	578.7017616	1.057280493	0.308501437	3.427149333	0.000609954	0.001550394	dsbG	disulfide isomerase/thiol-disulfide oxidase
ECs5469	50.79693356	1.165552854	0.789241263	1.47680172	0.139728795	0.216130109	dsrA	miscRNA
ECs4515	4587.632169	1.651603135	0.382018055	4.32336408	1.54E-05	4.84E-05	dut	deoxyuridine 5'-triphosphate nucleotidohydrolase
ECs3958	86.72205836	-0.333323358	0.527630263	-0.631736617	0.527558996	0.634631366	ebgA	cryptic beta-D-galactosidase subunit alpha
ECs3959	13.92221917	-1.131234418	1.160297715	-0.974951862	0.329584139	0.437489968	ebgC	cryptic beta-D-galactosidase subunit beta
ECp021.1n	353.8552013	-1.627682597	0.448457234	-3.629515756	0.000283953	0.000897659	ECp021.1n	hypothetical protein
ECp023	118.9782208	0.823764521	0.381934711	2.156820253	0.031019672	0.06908927	ECp023	hypothetical protein
ECp025.2n	267.8783166	2.644832729	0.381365186	6.935170865	4.06E-12	3.06E-11	ECp025.2n	hypothetical protein
ECp042	0.2541338	-0.306295385	0.796739168	-0.384436208	0.700655168	0.798421006	ECp042	hypothetical protein
ECp054	10.85360536	0.623731643	0.82265273	0.758195556	0.448333922	0.578523088	ECp054	hypothetical protein
ECp070	199.8084756	0.520698491	0.328408601	1.585520262	0.112848177	0.201074934	ECp070	hypothetical protein
ECp072	13.76409496	0.693985889	0.907909071	0.764378186	0.444641904	0.578523088	ECp072	hypothetical protein
ECp088.2c	1317.519785	0.261876763	0.267512896	0.978931359	0.327613896	0.492427097	ECp088.2c	hypothetical protein
ECs0003	10150.82426	1.487396385	0.291723228	5.098655988	3.42E-07	1.33E-06	ECs0003	homoserine kinase
ECs0004	4244.36339	1.839903978	0.29770478	6.180297069	6.40E-10	3.20E-09	ECs0004	threonine synthase
ECs0005	210.1362585	-0.000583403	0.515853772	-0.001130947	0.999097635	0.999342932	ECs0005	hypothetical protein
ECs0006	1867.283204	-0.574053134	0.297683755	-1.92839926	0.053805484	0.093821361	ECs0006	hypothetical protein
ECs0007	610.638368	-1.209560713	0.318129407	-3.802102806	0.000143473	0.000396752	ECs0007	inner membrane transport protein
ECs0008	48371.40617	-0.365715288	0.327632988	-1.116234632	0.264321714	0.366163926	ECs0008	transaldolase B
ECs0010	445.5996559	0.224991534	0.363194366	0.619479693	0.535600396	0.642094773	ECs0010	hypothetical protein
ECs0011	18.52840291	0.130753736	1.162131499	0.112511997	0.910417458	0.938995081	ECs0011	hypothetical protein
ECs0012	320.6817001	-2.856154871	0.577101787	-4.949135378	7.45E-07	2.79E-06	ECs0012	hypothetical protein
ECs0013	48.93108583	0.335311807	0.778162704	0.430901925	0.666539684	0.754091853	ECs0013	hypothetical protein
ECs0015	20716.69611	-0.659937786	0.255601795	-2.581898092	0.009825859	0.020162395	ECs0015	molecular chaperone DnaJ
ECs0016	13803.24501	-2.471310099	0.369213823	-6.693438726	2.18E-11	1.23E-10	ECs0016	Gef protein
ECs0019	208.2076402	2.381997755	0.677218595	3.517324794	0.00043592	0.001129799	ECs0019	hypothetical protein
ECs0021	12.33010229	1.940470998	1.353179854	1.434008193	0.151569925	0.231332315	ECs0021	hypothetical protein
ECs0022	174.4384883	1.583834481	0.454633757	3.483759083	0.000494424	0.00127289	ECs0022	outer membrane usher protein
ECs0023	14.81835566	0.523697034	1.100370292	0.475928001	0.634125673	0.726851528	ECs0023	fimbrial chaperone
ECs0024	82.80303809	-0.325159147	0.504747479	-0.644201627	0.519444696	0.62674021	ECs0024	fimbrial protein
ECs0025	99.04972664	0.952135737	0.571993983	1.664590476	0.095994487	0.155879369	ECs0025	hypothetical protein
ECs0027	820.4746342	2.189764943	1.329106439	1.647546712	NA	NA	ECs0027	hypothetical protein
ECs0031	1967.761684	2.124347414	0.353407479	6.011042603	1.84E-09	8.90E-09	ECs0031	FKBP-type peptidyl-prolyl cis-trans isomerase
ECs0033	3044.169911	-1.034901936	0.339744467	-3.04611859	0.002318164	0.005319876	ECs0033	ribonucleoside hydrolase RihC
ECs0034	1935.35928	0.846420883	0.257249603	3.290270897	0.00100091	0.002437605	ECs0034	4-hydroxy-tetrahydrodipicolinate reductase
ECs0037	5866.330613	-4.305042195	0.368518888	-11.68201233	1.58E-31	3.22E-30	ECs0037	CaiF family transcriptional regulator
ECs0038	54.47459969	-0.272912758	0.639449393	-0.426793365	0.669529839	0.756804085	ECs0038	carnitine operon protein CaiE
ECs0039	29.07959311	-0.422642978	0.82956211	-0.509477196	0.610417778	0.708256108	ECs0039	carnitinyl-CoA dehydratase
ECs0041	525.5018162	1.039248298	0.339130194	3.064452282	0.00218069	0.005023573	ECs0041	crotonobetainyl-CoA:carnitine CoA-transferase
ECs0042	1035.139766	-0.419924479	0.301225486	-1.39405362	0.163301413	0.245565011	ECs0042	crotonobetainyl-CoA dehydrogenase
ECs0043	78.14066206	0.207907752	0.522578785	0.397849584	0.690741065	0.773704374	ECs0043	L-carnitine/gamma-butyrobetaine antiporter
ECs0044	36.78814035	-0.927161998	0.822844927	-1.126776101	0.259837157	0.361486416	ECs0044	electron transfer flavoprotein FixA
ECs0046	40.36033542	0.050359326	0.86962362	0.057909335	0.953820847	0.969959948	ECs0046	oxidoreductase FixC
ECs0047	11.32155571	-0.727769113	1.236886597	-0.588387905	0.556271954	0.661412263	ECs0047	ferredoxin
ECs0048	367.8398991	-1.932648254	0.437894244	-4.413504586	1.02E-05	3.28E-05	ECs0048	transporter
ECs0049	336.1929755	-0.250634131	0.341657093	-0.733583868	0.463202396	0.572807901	ECs0049	glutathione-regulated potassium-efflux system ancillary protein KefF
ECs0050	925.3333979	-0.17450518	0.281112051	-0.620767338	0.534752716	0.641347548	ECs0050	glutathione-regulated potassium-efflux system protein KefC
ECs0052	9175.763966	-1.432463496	0.365338036	-3.920926251	8.82E-05	0.000251515	ECs0052	CcdA-like protein
ECs0053	1053.031071	-0.571430873	0.288957305	-1.977561609	0.047978184	0.08464253	ECs0053	CcdB-like protein
ECs0058	40037.74741	1.633707697	0.334539034	4.883459114	1.04E-06	3.84E-06	ECs0058	peptidyl-prolyl cis-trans isomerase SurA
ECs0059	42563.31169	1.016683949	0.300874031	3.379101703	0.000727231	0.00182364	ECs0059	organic solvent tolerance protein
ECs0062	725.1973328	1.212503576	0.385599942	3.144459954	0.001663937	0.003908048	ECs0062	23S rRNA/tRNA pseudouridine synthase A
ECs0063	6081.871735	1.492531236	0.399805697	3.733141495	0.000189106	0.000514784	ECs0063	ATP-dependent helicase HepA
ECs0064	11354.2503	-2.727420266	0.3604539	-7.566627146	3.83E-14	2.71E-13	ECs0064	DNA polymerase II
ECs0066	811.543284	-4.537202152	0.412888986	-10.98891544	4.32E-28	7.47E-27	ECs0066	L-arabinose isomerase
ECs0067	339.3578588	-4.49672077	0.43803453	-10.26567647	1.01E-24	1.40E-23	ECs0067	ribulokinase
ECs0068	1542.571495	-3.761670905	0.27900456	-13.48247108	1.98E-41	6.10E-40	ECs0068	AraC family transcriptional regulator
ECs0069	3445.895759	-2.437546783	0.325488676	-7.488883518	6.95E-14	4.79E-13	ECs0069	hypothetical protein
ECs0073	1406.213579	-1.281882796	0.333217049	-3.846990423	0.000119578	0.000334434	ECs0073	hypothetical protein
ECs0074	1381.033699	-0.227066092	0.294118149	-0.772023394	0.440100572	0.551042591	ECs0074	transcriptional regulator SgrR
ECs0076	2497.606211	3.102734697	0.319308178	9.717053638	2.55E-22	3.07E-21	ECs0076	isopropylmalate isomerase large subunit
ECs0077	2400.190682	3.023034956	0.35435689	8.531046084	1.45E-17	1.29E-16	ECs0077	3-isopropylmalate dehydrogenase
